hour,month_num,month_lbl,mean_temp_c,mean_humidity,mean_pm25
6,1,Jan,17.69925513519553,75.67337056871509,5.737856592135698
6,2,Feb,17.94490278786093,72.8047731308191,3.9250629722921913
6,3,Mar,17.56229386131934,78.74595203148425,4.778046811945117
6,4,Apr,15.315960917752442,77.14967427361564,6.724224643755239
6,5,May,11.239602557132718,76.41774310645847,13.838805970149254
6,6,Jun,8.789217954650624,83.69731609440073,9.049648946840522
6,7,Jul,8.863473336479473,84.5631429952808,7.236006051437216
6,8,Aug,9.400847835787594,79.52516733645695,8.941719281204469
6,9,Sep,10.900515464710546,70.0534496407613,2.8523519163763065
6,10,Oct,12.640150567963197,73.15792554830614,2.726911179849757
6,11,Nov,14.386733802977233,76.90070053327496,4.7463570127504555
6,12,Dec,15.96371541660079,71.35628459209485,2.6553695385871783
7,1,Jan,18.259366858472998,73.30681563538175,6.11981388134936
7,2,Feb,18.1714373923504,71.97353484762492,4.258699934340118
7,3,Mar,17.425288241352806,79.30922367486548,4.9526143790849675
7,4,Apr,15.550970881067961,75.88632686812298,7.1606694560669455
7,5,May,11.145818444603288,76.41801287634024,13.964872944693573
7,6,Jun,8.77753488372093,83.53944186325582,9.060392551585304
7,7,Jul,8.793604926575082,84.47347229322595,7.4465281297516475
7,8,Aug,9.415971287572903,79.41624046971737,9.080842724154826
7,9,Sep,11.29228346535433,68.86996062755905,2.8209796272215
7,10,Oct,13.093972373377982,71.48015906739222,2.8059370846256093
7,11,Nov,14.950504605528742,74.75313732338745,4.880984952120383
7,12,Dec,16.935363460903734,67.74326129980354,2.669519152404238
8,1,Jan,19.49509363932584,68.38857679513109,6.236697965571205
8,2,Feb,19.33552870755287,67.93534747915407,4.465931213497729
8,3,Mar,18.132452830943397,76.93683017132075,5.233064516129033
8,4,Apr,16.609635627530366,71.62890687611336,7.282718120805369
8,5,May,11.870086709537572,74.05650284609827,13.842304776345717
8,6,Jun,8.993703358208956,83.29692162313432,9.295281582952816
8,7,Jul,9.045467557251907,83.4932729355916,7.385208012326657
8,8,Aug,10.18963331824355,76.64640109234948,9.415430267062314
8,9,Sep,12.439404762301587,64.4292460420635,2.710526315789474
8,10,Oct,14.337917742502142,67.08264782219366,3.0
8,11,Nov,16.1043107350696,70.4654243453076,4.866013071895424
8,12,Dec,18.3105450300158,62.76113743759874,2.491809991809992
9,1,Jan,21.09317761067853,62.10367075083426,6.168148434480093
9,2,Feb,20.839432369565216,62.18067632125604,4.2550032278889605
9,3,Mar,19.64655436140888,71.70290966998469,5.521632653061224
9,4,Apr,18.396844656957928,64.43001617394822,6.740150880134116
9,5,May,13.68848614143568,67.77064676332623,13.548098434004475
9,6,Jun,10.050184162062616,80.11040513489871,9.589116325511732
9,7,Jul,10.07380729653882,80.07146864499532,7.775100401606426
9,8,Aug,11.736168309310653,71.17094895478961,9.258268482490273
9,9,Sep,13.731675801096321,58.873962412294446,2.473864610111397
9,10,Oct,15.571566572028559,62.07538849433012,2.868268802848242
9,11,Nov,17.332938079490557,66.01212122793149,4.5789713245334545
9,12,Dec,19.794562651300236,57.32643813278172,2.334422213148224
10,1,Jan,22.506428842809363,56.981753995169086,6.137984496124031
10,2,Feb,22.25006165782984,57.256535124537606,4.302709847984137
10,3,Mar,21.329954616490166,64.98040847503783,5.435876623376624
10,4,Apr,19.58626817770598,59.88174473182552,6.095317725752508
10,5,May,15.462553804160688,61.546054492109036,13.06081081081081
10,6,Jun,11.297191529005525,75.82605894935544,9.164917541229386
10,7,Jul,11.31995294117647,75.78456471905882,7.645717181956411
10,8,Aug,13.120692719804618,65.91514207415631,8.845705967976711
10,9,Sep,14.434324857142858,55.96015656947162,2.182832618025751
10,10,Oct,16.705126052941175,57.71117646806722,2.687333923826395
10,11,Nov,18.38273888287098,62.21778950770585,4.3088168113293746
10,12,Dec,21.00885827007874,53.554448814566925,2.391941391941392
11,1,Jan,23.68922733358098,53.51396732132243,5.3884361660845945
11,2,Feb,23.62642679466501,53.259491297146404,4.475398936170213
11,3,Mar,22.668381246596066,59.97155824054463,5.377526273241714
11,4,Apr,20.781098540387724,55.85896606865913,5.63628762541806
11,5,May,16.53569908587651,58.248190201561385,11.131794489947877
11,6,Jun,12.334754699220541,71.40609814993122,8.334
11,7,Jul,12.325514019158877,71.93079440514019,7.282335178661299
11,8,Aug,14.381560282358155,60.505939691046095,7.785540999514799
11,9,Sep,15.20603583372274,52.91471963668224,2.078969957081545
11,10,Oct,17.509979123590814,55.139665981210854,2.7791005291005293
11,11,Nov,19.384929699912124,58.15768892135325,3.812043795620438
11,12,Dec,21.89207220800628,50.61452119937206,2.603258655804481
12,1,Jan,24.428480773049646,52.06103023068309,5.167186282151208
12,2,Feb,24.467626798998122,51.216343140889165,4.787391012743125
12,3,Mar,23.401052635338345,57.86751882556391,5.395648670427075
12,4,Apr,21.684955756234917,53.79871279002414,5.465994962216625
12,5,May,17.175692967306325,56.81286424733475,10.132231404958677
12,6,Jun,13.011957524469068,68.14496769252077,7.924272818455366
12,7,Jul,12.946516008945386,68.89712804943503,7.296859169199594
12,8,Aug,15.213911110222224,56.751288903555555,7.09985387238188
12,9,Sep,15.686392159215686,51.838901972549024,2.2701075268817204
12,10,Oct,18.168818565400844,52.87670887594937,2.9955337204108976
12,11,Nov,19.827724079525485,56.660544813708256,3.934283088235294
12,12,Dec,22.579001182068424,49.04152575658671,2.8390004096681687
13,1,Jan,25.09487559301894,50.46914220943186,4.82147024504084
13,2,Feb,24.77846519928614,51.59702559071981,5.205523442517662
13,3,Mar,24.146921927927927,55.4228227972973,4.923639317627945
13,4,Apr,22.189435487096773,52.753225830645164,5.3007646559048425
13,5,May,17.75478383628632,55.10609497023388,9.921933085501859
13,6,Jun,13.444844892335766,65.54895073038321,7.186752988047809
13,7,Jul,13.239840072906867,67.62530573330197,6.883485309017224
13,8,Aug,15.708861329641117,54.56845370447496,6.743079164643031
13,9,Sep,15.972730820802493,51.17565251032334,2.273116438356164
13,10,Oct,18.85247566483284,50.44646634786288,2.9817127564674397
13,11,Nov,20.34430435173913,55.058826098695654,3.960364464692483
13,12,Dec,23.069512670565302,47.89906432826511,2.986156351791531
14,1,Jan,25.46587360892193,49.746840150557624,4.6960593055013655
14,2,Feb,24.976562511875,51.70993751875,5.074024226110363
14,3,Mar,24.607490642696632,53.403745315355806,4.631578947368421
14,4,Apr,22.393969025264873,52.62061938223309,5.188405797101449
14,5,May,18.037500002793294,54.33058661103352,9.408689248895435
14,6,Jun,13.688345523308959,63.463482631170024,5.7624750499002
14,7,Jul,13.25683962264151,67.72617923207547,6.40020366598778
14,8,Aug,15.918096937305469,53.4828367981325,6.036443148688047
14,9,Sep,16.24749514563107,50.46745631533981,2.1255893699099873
14,10,Oct,19.235744508037225,50.34369713240271,2.821636119803308
14,11,Nov,20.789232129744043,54.116019420564875,3.9311610830656263
14,12,Dec,23.45575498205228,47.23207179555209,3.0387913434054714
15,1,Jan,25.62265336178862,49.77213599778271,4.497867390461419
15,2,Feb,25.145621560930802,51.778505830985914,5.43282594308405
15,3,Mar,24.669594606606605,52.29647145795796,4.453808752025932
15,4,Apr,22.12093023095429,53.491980741780274,4.754400670578374
15,5,May,17.746148557771665,54.9255845866575,10.094821298322392
15,6,Jun,13.42142857281106,64.14216587741936,5.047595190380761
15,7,Jul,13.257610244665718,67.7490753598862,5.745258841619682
15,8,Aug,15.670693519463086,54.671275157941835,5.292993630573249
15,9,Sep,16.214915001545595,50.988639881761976,1.9948827292110873
15,10,Oct,19.570509052587294,49.806436677745054,2.4877505567928733
15,11,Nov,21.124518397110332,53.12959719308231,3.597890875745071
15,12,Dec,23.67249216888715,47.20916927468652,2.8340825500612996
16,1,Jan,25.632548576980565,50.01139759865471,4.034442270058708
16,2,Feb,25.07917181211372,51.69400493881335,6.232214765100671
16,3,Mar,24.63112283345893,52.9723436360211,4.32300163132137
16,4,Apr,21.51982414148681,55.42422062110312,4.58312447786132
16,5,May,17.027583806564245,57.740642467877095,10.2625
16,6,Jun,12.908095677092916,66.66195951885923,4.824799196787149
16,7,Jul,12.876131490233444,69.33739874702239,5.666324961558176
16,8,Aug,15.136069992821893,57.57577385733513,5.12685093780849
16,9,Sep,15.876073387587821,52.670374704137394,1.9694229112833763
16,10,Oct,19.42330259891031,51.10725063830679,2.4497543546225993
16,11,Nov,21.19337429135586,53.57231242738043,3.3078693051081456
16,12,Dec,23.71499605564325,47.934056833859515,2.6847068470684707
17,1,Jan,25.344154874906927,51.3150409545793,4.118935837245696
17,2,Feb,24.697064349156776,53.07713928981886,5.919485791610284
17,3,Mar,23.87227648985725,56.559579264462805,4.6822276822276825
17,4,Apr,20.669274196774193,58.68612901693549,5.153327716933446
17,5,May,16.285343625525947,60.85357643548387,10.895434462444772
17,6,Jun,12.287011173649907,69.88216949068901,5.544810126582279
17,7,Jul,12.251558752997601,72.56100722206234,6.051295336787565
17,8,Aug,14.257155846887779,61.16556108995911,5.345154845154845
17,9,Sep,15.114443138921684,56.597481323494684,2.294805194805195
17,10,Oct,18.656527305887373,54.28105799658703,2.7942238267148016
17,11,Nov,20.568758285903666,56.0743261117985,3.6267964765878533
17,12,Dec,23.173791758349704,50.054852645972495,2.8730028676771813
18,1,Jan,24.380789282576323,54.32944898845868,5.010890704006223
18,2,Feb,23.863209875925925,55.57425925987654,5.861111111111111
18,3,Mar,23.091543040059346,58.92715130267062,4.932203389830509
18,4,Apr,20.05520325609756,60.277398382926826,6.191757779646762
18,5,May,15.69706088383485,63.25220431070679,11.7496328928047
18,6,Jun,11.877532228360957,71.9161602228361,7.015022533800701
18,7,Jul,11.734557438794727,75.4614877405838,7.137931034482759
18,8,Aug,13.579409137421665,64.36078782587288,6.523598820058997
18,9,Sep,14.457722621355398,60.05886523601261,3.337380745880312
18,10,Oct,17.924569512389752,57.30382193364133,3.3902981753449044
18,11,Nov,19.901703807339448,58.938138923984276,4.435803037275655
18,12,Dec,22.531775335820896,52.807266299685786,3.2578667756436452
19,1,Jan,23.486263540500186,57.12452408398656,5.145369284876905
19,2,Feb,23.39356762656343,57.10732577843955,5.465264499681326
19,3,Mar,22.245722945495835,61.56139287206662,5.306188925081433
19,4,Apr,19.353840002400002,63.4003999936,6.427736006683375
19,5,May,15.09487534764543,65.93019392036011,12.454744525547445
19,6,Jun,11.508402971216341,73.42130919034355,8.08819057273188
19,7,Jul,11.313119395941483,77.12321847899953,7.739795918367347
19,8,Aug,13.08213166547246,66.58078814823108,7.22807881773399
19,9,Sep,14.011794878106508,62.31357004378698,3.8216145833333335
19,10,Oct,16.997043703084834,61.18157671036846,3.870076957899502
19,11,Nov,19.06180372325376,62.282051280282936,5.025
19,12,Dec,21.544544749607535,56.23308478571428,3.5848979591836736
20,1,Jan,22.305048261321456,60.508426141054194,4.846601941747573
20,2,Feb,21.859863532258068,62.48436724069479,5.453815261044177
20,3,Mar,21.43478588580015,64.14267467317806,5.330900243309002
20,4,Apr,18.70831316707022,66.15415657142857,6.6117647058823525
20,5,May,14.515097054636952,68.70172535442127,13.042553191489361
20,6,Jun,11.091263940520447,75.66770446468401,8.337878787878788
20,7,Jul,10.992497625830959,78.04064578300095,7.935910478128179
20,8,Aug,12.636318855799372,68.22713837438424,7.717722140402553
20,9,Sep,13.602481297755023,64.3118550338716,3.972809667673716
20,10,Oct,16.278963291576677,63.659611243628504,3.8401639344262297
20,11,Nov,18.26408766547406,65.30290698747764,5.081443776029616
20,12,Dec,20.3494342711666,59.85442839406945,3.6384709231394874
21,1,Jan,21.26307636665437,63.88428624603468,4.712291585886002
21,2,Feb,20.983947550281073,65.07407870893192,4.916890080428955
21,3,Mar,20.840137102817973,65.38796651332827,5.59382615759545
21,4,Apr,18.144202902576488,68.41956521256039,6.485809682804675
21,5,May,14.127765882940757,70.06152749036403,12.664666166541636
21,6,Jun,10.779168612797758,77.1636618463335,8.132018209408194
21,7,Jul,10.634964705882352,79.27590588611764,7.56010101010101
21,8,Aug,12.204081633096717,70.49591837843833,7.900678294573644
21,9,Sep,13.2176884057009,65.78812965013667,3.6637856525496977
21,10,Oct,15.836931581810454,64.604504919677,3.626511419614868
21,11,Nov,17.535203866725123,68.25116176589215,4.7153284671532845
21,12,Dec,19.440636051040443,62.32677661327052,3.733061224489796
22,1,Jan,20.668606382876206,65.99714604262417,4.114982578397212
22,2,Feb,20.335924764890283,67.70294670344828,4.456317204301075
22,3,Mar,20.037339383219955,68.59486017384732,4.7939983779399835
22,4,Apr,17.629079163974154,69.97617128594507,6.094481605351171
22,5,May,13.675936600864555,71.27615273631125,13.117913832199546
22,6,Jun,10.43613172541744,78.38051946243043,8.338376197680283
22,7,Jul,10.425596630790828,79.81048200280767,7.196482412060302
22,8,Aug,11.72529907000443,72.84643332343819,7.886627906976744
22,9,Sep,12.952260329696026,66.8438036001559,3.2614322691975843
22,10,Oct,15.253057785744414,66.85698018599747,3.248665480427046
22,11,Nov,16.945079086994728,69.88057993717047,4.216795983569146
22,12,Dec,18.580273984344423,64.56399220195695,3.1522801302931596
23,1,Jan,20.113368002227997,67.5854065971036,4.606131160263873
23,2,Feb,19.754634750153468,69.48514426273788,4.3601053324555625
23,3,Mar,19.475507138241923,71.23876782419234,4.783696529459242
23,4,Apr,17.30121753409091,70.62873375974026,6.133891213389122
23,5,May,13.214203734576758,72.20215209325681,14.031060606060606
23,6,Jun,10.16746543778802,79.20447005023041,8.855072463768115
23,7,Jul,10.092507068803016,80.83661644344957,7.3937562940584085
23,8,Aug,11.31759751817376,74.10997338031915,8.004849660523764
23,9,Sep,12.628211102056655,67.28315873845557,3.270038576939563
23,10,Oct,14.861974791596639,68.24773108235294,3.081641659311562
23,11,Nov,16.44381579385965,71.59315789868421,4.257064721969006
23,12,Dec,17.97529458601728,66.47674784210527,2.8729641693811074
