date,year,month_lbl,month_num,season,mean_pm25
2024-06-19,2024,Jun,6,Winter,26.5
2024-06-19,2024,Jun,6,Winter,23.260416666666668
2024-06-19,2024,Jun,6,Winter,22.510416666666664
2024-06-19,2024,Jun,6,Winter,9.208333333333329
2024-06-19,2024,Jun,6,Winter,20.82105263157895
2024-06-19,2024,Jun,6,Winter,18.694736842105257
2024-06-20,2024,Jun,6,Winter,9.447916666666666
2024-06-20,2024,Jun,6,Winter,21.52631578947368
2024-06-20,2024,Jun,6,Winter,18.416666666666664
2024-06-20,2024,Jun,6,Winter,18.2608695652174
2024-06-20,2024,Jun,6,Winter,21.09375
2024-06-20,2024,Jun,6,Winter,14.608695652173912
2024-06-20,2024,Jun,6,Winter,14.9375
2024-06-21,2024,Jun,6,Winter,19.010416666666664
2024-06-21,2024,Jun,6,Winter,21.697916666666664
2024-06-21,2024,Jun,6,Winter,19.22916666666666
2024-06-21,2024,Jun,6,Winter,20.75
2024-06-21,2024,Jun,6,Winter,22.978947368421053
2024-06-21,2024,Jun,6,Winter,19.7608695652174
2024-06-21,2024,Jun,6,Winter,20.354166666666668
2024-06-22,2024,Jun,6,Winter,7.65625
2024-06-22,2024,Jun,6,Winter,13.9375
2024-06-22,2024,Jun,6,Winter,12.31578947368421
2024-06-22,2024,Jun,6,Winter,12.619565217391298
2024-06-22,2024,Jun,6,Winter,18.51578947368421
2024-06-22,2024,Jun,6,Winter,15.68181818181818
2024-06-22,2024,Jun,6,Winter,8.9375
2024-06-23,2024,Jun,6,Winter,26.75
2024-06-23,2024,Jun,6,Winter,22.48958333333333
2024-06-23,2024,Jun,6,Winter,23.3125
2024-06-23,2024,Jun,6,Winter,25.053191489361705
2024-06-23,2024,Jun,6,Winter,9.77083333333333
2024-06-23,2024,Jun,6,Winter,22.458333333333336
2024-06-23,2024,Jun,6,Winter,8.663157894736843
2024-06-24,2024,Jun,6,Winter,8.73958333333333
2024-06-24,2024,Jun,6,Winter,14.364583333333336
2024-06-24,2024,Jun,6,Winter,14.19148936170213
2024-06-24,2024,Jun,6,Winter,14.333333333333336
2024-06-24,2024,Jun,6,Winter,5.989583333333334
2024-06-24,2024,Jun,6,Winter,10.978260869565222
2024-06-24,2024,Jun,6,Winter,11.0
2024-06-25,2024,Jun,6,Winter,2.2395833333333326
